Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",0805,2,26pF,
"C2, C3",0805,2,1uF,
"C4, C5",0805,2,0.1uF,
"D1, D2",D_SOD-123F,2,DSS14U,
"D3, D4, D5, D6, D7",1206,5,LED,
F1,1206,1,1A,
F2,1206,1,100mA,
J1,CONN_10164359-00011LF_AMP,1,USB_C_Receptacle_PowerOnly_6P,
J2,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Conn_01x05_Female,
J3,Terminal_block,1,Screw_Terminal_01x02,
L1,ASPI-0630LR-220M-T15,1,22uH,
Q1,SOT-23,1,T2N7002AK,
"R10, R6, R7, R8, R9",0805,5,330R,
"R2, R3",0805,2,5.1k,
R22,0805,1,10k,
R4,0805,1,2.15M,
R5,0805,1,71.5k,
RV1,CUI_TB007-508-03BE,1,1k - 1M,
SW1,Terminal_block,1,Power Switch,
U1,SOT-23-6,1,TLV61046ADB,
U2,SOIC-28W_7.5x18.7mm_P1.27mm,1,PIC18F26K83-xSP,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-12.000MHZ-18-D2Y-T,
