Designator,Mid X,Mid Y,Rotation,Layer
C10,133.858,-84.836,270.0,bottom
C2,141.097,-68.834,180.0,top
C3,136.906,-63.881,90.0,top
C4,145.288,-84.582,0.0,bottom
C5,137.414,-69.088,0.0,bottom
C9,141.224,-84.963,90.0,bottom
D1,127.254,-76.073,270.0,top
D2,132.207,-64.008,0.0,bottom
D3,141.224,-72.771,0.0,top
D4,141.224,-75.819,0.0,top
D5,141.224,-78.867,0.0,top
D6,141.224,-81.915,0.0,top
D7,141.224,-84.963,0.0,top
F1,126.873,-70.866,0.0,top
F2,132.207,-61.087,0.0,bottom
H1,116.332,-61.849,0.0,top
H2,116.332,-84.201,0.0,top
H3,159.893,-61.849,0.0,top
J1,117.381401,-73.154002,90.0,top
J2,155.194,-69.2495,0.0,bottom
J3,124.754,-62.6465,180.0,top
L1,146.939,-63.5,90.0,top
Q1,133.0175,-65.786,0.0,top
R10,134.747,-85.217,180.0,top
R2,119.126,-74.549,180.0,bottom
R22,151.13,-82.804,270.0,bottom
R3,119.126,-71.131,180.0,bottom
R4,135.382,-60.198,0.0,top
R5,140.081,-60.198,0.0,top
R6,134.747,-72.517,180.0,top
R7,134.747,-75.692,180.0,top
R8,134.747,-78.867,180.0,top
R9,134.747,-82.042,180.0,top
RV1,156.464,-79.248,270.0,top
SW1,124.801,-83.693,0.0,top
U1,140.462,-64.135,90.0,top
U2,140.081,-76.581,0.0,bottom
Y1,137.557,-84.836,180.0,bottom
